Date,Price,Open,High,Low,Vol.
Apr 09 2022,42767.00,42275.00,42809.00,42129.00,165.16M
Apr 08 2022,42275.00,43450.00,43979.00,42113.00,467.83M
Apr 07 2022,43448.00,43166.00,43893.00,42747.00,390.85M
Apr 06 2022,43173.00,45494.00,45519.00,43122.00,649.52M
Apr 05 2022,45506.00,46614.00,47201.00,45388.00,421.11M
Apr 04 2022,46629.00,46407.00,46899.00,45152.00,446.12M
Apr 03 2022,46407.00,45813.00,47435.00,45554.00,398.86M
Apr 02 2022,45811.00,46299.00,47212.00,45641.00,345.93M
Apr 01 2022,46297.00,45529.00,46728.00,44261.00,632.93M
Mar 31 2022,45525.00,47071.00,47624.00,45228.00,520.00M
Mar 30 2022,47075.00,47449.00,47714.00,46601.00,467.76M
Mar 29 2022,47449.00,47126.00,48127.00,47029.00,478.82M
Mar 28 2022,47105.00,46859.00,48199.00,46672.00,610.27M
Mar 27 2022,46859.00,44542.00,46947.00,44445.00,388.79M
Mar 26 2022,44548.00,44331.00,44818.00,44090.00,196.30M
Mar 25 2022,44331.00,44013.00,45112.00,43622.00,494.09M
Mar 24 2022,44013.00,42911.00,44251.00,42658.00,491.66M
Mar 23 2022,42912.00,42373.00,43027.00,41795.00,433.96M
Mar 22 2022,42373.00,41022.00,43327.90,40893.00,537.06M
Mar 21 2022,41022.00,41282.00,41532.00,40530.00,406.62M
Mar 20 2022,41276.00,42241.00,42301.00,40922.00,308.45M
Mar 19 2022,42233.00,41768.00,42386.00,41529.60,224.59M
Mar 18 2022,41767.80,40914.60,42308.40,40234.80,2.31B
Mar 17 2022,40914.80,41118.70,41406.00,40557.80,1.90B
Mar 16 2022,41118.70,39282.50,41701.60,38953.20,4.47B
Mar 15 2022,39285.70,39673.00,39854.70,38220.90,2.25B
Mar 14 2022,39671.10,37789.50,39914.30,37613.60,2.33B
Mar 13 2022,37792.40,38813.20,39272.30,37603.40,1.55B
Mar 12 2022,38814.30,38730.20,39355.30,38666.50,1.11B
Mar 11 2022,38730.20,39422.50,40177.00,38236.40,2.79B
Mar 10 2022,39416.30,41933.90,42029.10,38603.50,3.62B
Mar 09 2022,41929.00,38731.50,42538.50,38663.30,3.60B
Mar 08 2022,38744.80,38020.60,39351.50,37886.60,2.67B
Mar 07 2022,38024.80,38420.60,39532.00,37182.10,3.02B
Mar 06 2022,38403.10,39396.30,39668.10,38115.00,1.93B
Mar 05 2022,39395.80,39142.80,39600.20,38626.10,1.50B
Mar 04 2022,39142.70,42463.00,42848.70,38594.90,3.21B
Mar 03 2022,42463.00,43912.80,44077.20,41840.80,74.11K
Mar 02 2022,43912.80,44420.30,45294.20,43361.30,80.82K
Mar 01 2022,44420.30,43187.20,44900.50,42876.60,90.67K
Feb 28 2022,43188.20,37707.20,43977.80,37458.90,108.07K
Feb 27 2022,37689.10,39116.60,39838.50,37062.30,66.14K
Feb 26 2022,39115.50,39221.60,40094.50,38639.10,41.55K
Feb 25 2022,39209.60,38339.20,39683.70,38042.60,83.78K
Feb 24 2022,38339.20,37250.20,39351.60,34357.40,180.47K
Feb 23 2022,37224.60,38248.20,39194.50,37099.50,64.84K
Feb 22 2022,38248.20,37018.30,38414.90,36399.60,82.75K
Feb 21 2022,37017.70,38355.00,39444.10,36868.90,91.82K
Feb 20 2022,38355.00,40089.60,40120.30,38042.20,47.92K
Feb 19 2022,40090.30,40000.10,40434.30,39666.60,25.78K
Feb 18 2022,40000.10,40532.50,40935.50,39505.00,64.96K
Feb 17 2022,40552.80,43885.50,44167.10,40103.80,72.63K
Feb 16 2022,43883.60,44540.90,44552.90,43377.60,41.40K
Feb 15 2022,44544.40,42550.30,44722.60,42460.10,56.34K
Feb 14 2022,42550.30,42061.10,42799.70,41591.30,53.60K
Feb 13 2022,42061.10,42205.50,42725.10,41880.10,25.88K
Feb 12 2022,42205.20,42388.40,43006.40,41776.80,37.88K
Feb 11 2022,42388.40,43519.30,43915.10,42023.40,69.95K
Feb 10 2022,43521.00,44388.90,45755.20,43242.50,89.69K
Feb 09 2022,44388.90,44038.20,44800.40,43163.00,50.92K
Feb 08 2022,44038.20,43833.90,45399.80,42705.00,92.88K
Feb 07 2022,43833.90,42385.20,44468.30,41695.40,76.60K
Feb 06 2022,42392.20,41411.90,42614.80,41176.30,31.20K
Feb 05 2022,41412.10,41566.50,41899.80,40963.30,46.32K
Feb 04 2022,41567.60,37287.80,41689.00,37041.10,95.49K
Feb 03 2022,37287.80,36890.20,37304.30,36297.30,50.35K
Feb 02 2022,36890.20,38711.20,38853.80,36682.30,53.74K
Feb 01 2022,38709.70,38475.60,39230.00,38037.90,55.20K
Jan 31 2022,38498.60,37923.80,38701.40,36672.80,61.27K
Jan 30 2022,37917.70,38167.50,38313.30,37390.60,34.10K
Jan 29 2022,38170.80,37736.50,38663.70,37350.20,42.77K
Jan 28 2022,37745.10,37195.60,37995.90,36176.50,69.45K
Jan 27 2022,37164.30,36800.10,37215.40,35543.20,83.52K
Jan 26 2022,36800.40,36962.30,38862.60,36280.00,107.87K
Jan 25 2022,36950.60,36691.30,37501.80,35729.30,79.68K
Jan 24 2022,36686.30,36268.60,37424.00,32985.60,153.77K
Jan 23 2022,36269.50,35072.90,36513.00,34655.20,70.43K
Jan 22 2022,35075.20,36467.70,36749.80,34116.00,138.09K
Jan 21 2022,36475.50,40698.10,41104.60,35503.90,155.80K
Jan 20 2022,40715.90,41683.60,43487.10,40568.30,65.28K
Jan 19 2022,41677.80,42365.30,42558.00,41160.90,53.77K
Jan 18 2022,42364.60,42209.90,42674.20,41300.70,47.32K
Jan 17 2022,42209.30,43080.50,43179.60,41559.40,41.44K
Jan 16 2022,43079.10,43079.20,43462.00,42643.30,28.66K
Jan 15 2022,43097.00,43073.60,43777.90,42586.10,31.44K
Jan 14 2022,43073.30,42562.20,43435.10,41848.70,50.50K
Jan 13 2022,42560.00,43900.00,44404.70,42337.50,53.42K
Jan 12 2022,43901.00,42735.00,44243.60,42476.70,53.95K
Jan 11 2022,42733.20,41829.10,43090.20,41287.60,61.78K
Jan 10 2022,41832.20,41848.90,42243.80,39697.00,85.50K
Jan 09 2022,41848.30,41681.20,42764.40,41260.90,37.51K
Jan 08 2022,41672.00,41551.30,42304.40,40574.30,52.54K
Jan 07 2022,41546.70,43097.90,43127.70,40810.00,88.36K
Jan 06 2022,43097.50,43431.60,43772.30,42481.10,63.08K
Jan 05 2022,43425.90,45833.10,47019.40,42535.10,83.74K
Jan 04 2022,45837.30,46435.70,47505.40,45602.10,55.59K
Jan 03 2022,46430.20,47293.90,47556.00,45704.00,41.06K
Jan 02 2022,47311.80,47738.70,47944.90,46718.20,27.02K
Jan 01 2022,47738.00,46217.50,47917.60,46217.50,31.24K
